GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
9700000US1200030,1200030,"Alachua County School District, Florida",177100,9625
9700000US1200090,1200090,"Bay County School District, Florida",177700,9170
9700000US1200150,1200150,"Brevard County School District, Florida",175600,5352
9700000US1200180,1200180,"Broward County School District, Florida",246100,4893
9700000US1200240,1200240,"Charlotte County School District, Florida",180600,11947
9700000US1200270,1200270,"Citrus County School District, Florida",121900,8085
9700000US1200300,1200300,"Clay County School District, Florida",170300,5897
9700000US1200330,1200330,"Collier County School District, Florida",357300,14196
9700000US1200360,1200360,"Columbia County School District, Florida",111700,10716
9700000US1200390,1200390,"Dade County School District, Florida",265200,4087
9700000US1200480,1200480,"Duval County School District, Florida",164300,3834
9700000US1200510,1200510,"Escambia County School District, Florida",131000,7141
9700000US1200540,1200540,"Flagler County School District, Florida",207900,9221
9700000US1200810,1200810,"Hernando County School District, Florida",126800,5402
9700000US1200840,1200840,"Highlands County School District, Florida",92100,10913
9700000US1200870,1200870,"Hillsborough County School District, Florida",195800,4010
9700000US1200930,1200930,"Indian River County School District, Florida",183600,11257
9700000US1201050,1201050,"Lake County School District, Florida",163600,4111
9700000US1201080,1201080,"Lee County School District, Florida",210900,6187
9700000US1201110,1201110,"Leon County School District, Florida",197600,7710
9700000US1201230,1201230,"Manatee County School District, Florida",215700,8738
9700000US1201260,1201260,"Marion County School District, Florida",127000,7332
9700000US1201290,1201290,"Martin County School District, Florida",257300,16296
9700000US1201320,1201320,"Monroe County School District, Florida",464700,29731
9700000US1201350,1201350,"Nassau County School District, Florida",223100,16216
9700000US1201380,1201380,"Okaloosa County School District, Florida",209400,9329
9700000US1201440,1201440,"Orange County School District, Florida",214000,5641
9700000US1201470,1201470,"Osceola County School District, Florida",184900,9354
9700000US1201500,1201500,"Palm Beach County School District, Florida",269600,5487
9700000US1201530,1201530,"Pasco County School District, Florida",145000,6026
9700000US1201560,1201560,"Pinellas County School District, Florida",186500,4109
9700000US1201590,1201590,"Polk County School District, Florida",135300,5252
9700000US1201620,1201620,"Putnam County School District, Florida",83700,9227
9700000US1201650,1201650,"Santa Rosa County School District, Florida",189100,18488
9700000US1201680,1201680,"Sarasota County School District, Florida",235600,7473
9700000US1201710,1201710,"Seminole County School District, Florida",229900,6127
9700000US1201740,1201740,"St. Johns County School District, Florida",296100,10007
9700000US1201770,1201770,"St. Lucie County School District, Florida",166500,6211
9700000US1201800,1201800,"Sumter County School District, Florida",249500,12903
9700000US1201920,1201920,"Volusia County School District, Florida",162700,3676
9700000US1201980,1201980,"Walton County School District, Florida",224000,18697
