GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US48085030100,48085030100,"Census Tract 301, Collin County, Texas",61735,5538
1400000US48085030201,48085030201,"Census Tract 302.01, Collin County, Texas",72147,13906
1400000US48085030202,48085030202,"Census Tract 302.02, Collin County, Texas",67734,9905
1400000US48085030203,48085030203,"Census Tract 302.03, Collin County, Texas",82536,12159
1400000US48085030301,48085030301,"Census Tract 303.01, Collin County, Texas",90368,12035
1400000US48085030302,48085030302,"Census Tract 303.02, Collin County, Texas",175481,17858
1400000US48085030303,48085030303,"Census Tract 303.03, Collin County, Texas",120448,16575
1400000US48085030304,48085030304,"Census Tract 303.04, Collin County, Texas",97344,20930
1400000US48085030305,48085030305,"Census Tract 303.05, Collin County, Texas",104514,15178
1400000US48085030403,48085030403,"Census Tract 304.03, Collin County, Texas",86761,16889
1400000US48085030404,48085030404,"Census Tract 304.04, Collin County, Texas",99447,18334
1400000US48085030405,48085030405,"Census Tract 304.05, Collin County, Texas",70194,9350
1400000US48085030406,48085030406,"Census Tract 304.06, Collin County, Texas",55049,11028
1400000US48085030407,48085030407,"Census Tract 304.07, Collin County, Texas",171250,45060
1400000US48085030408,48085030408,"Census Tract 304.08, Collin County, Texas",70771,12132
1400000US48085030504,48085030504,"Census Tract 305.04, Collin County, Texas",96806,21275
1400000US48085030505,48085030505,"Census Tract 305.05, Collin County, Texas",73007,9785
1400000US48085030506,48085030506,"Census Tract 305.06, Collin County, Texas",123177,1833
1400000US48085030507,48085030507,"Census Tract 305.07, Collin County, Texas",148304,18120
1400000US48085030508,48085030508,"Census Tract 305.08, Collin County, Texas",114389,19318
1400000US48085030509,48085030509,"Census Tract 305.09, Collin County, Texas",115217,10110
1400000US48085030510,48085030510,"Census Tract 305.10, Collin County, Texas",95580,8315
1400000US48085030511,48085030511,"Census Tract 305.11, Collin County, Texas",117469,25019
1400000US48085030512,48085030512,"Census Tract 305.12, Collin County, Texas",154792,19048
1400000US48085030513,48085030513,"Census Tract 305.13, Collin County, Texas",74211,16427
1400000US48085030514,48085030514,"Census Tract 305.14, Collin County, Texas",77768,10614
1400000US48085030515,48085030515,"Census Tract 305.15, Collin County, Texas",87326,8374
1400000US48085030516,48085030516,"Census Tract 305.16, Collin County, Texas",98109,13520
1400000US48085030517,48085030517,"Census Tract 305.17, Collin County, Texas",104911,12301
1400000US48085030518,48085030518,"Census Tract 305.18, Collin County, Texas",156429,7506
1400000US48085030519,48085030519,"Census Tract 305.19, Collin County, Texas",117632,25489
1400000US48085030520,48085030520,"Census Tract 305.20, Collin County, Texas",116583,14493
1400000US48085030521,48085030521,"Census Tract 305.21, Collin County, Texas",110508,7014
1400000US48085030522,48085030522,"Census Tract 305.22, Collin County, Texas",114067,9222
1400000US48085030523,48085030523,"Census Tract 305.23, Collin County, Texas",97069,12443
1400000US48085030524,48085030524,"Census Tract 305.24, Collin County, Texas",93750,14643
1400000US48085030525,48085030525,"Census Tract 305.25, Collin County, Texas",119812,4289
1400000US48085030526,48085030526,"Census Tract 305.26, Collin County, Texas",120556,21580
1400000US48085030527,48085030527,"Census Tract 305.27, Collin County, Texas",97969,9441
1400000US48085030528,48085030528,"Census Tract 305.28, Collin County, Texas",121500,14633
1400000US48085030529,48085030529,"Census Tract 305.29, Collin County, Texas",104728,16715
1400000US48085030530,48085030530,"Census Tract 305.30, Collin County, Texas",99427,14439
1400000US48085030531,48085030531,"Census Tract 305.31, Collin County, Texas",118370,13966
1400000US48085030601,48085030601,"Census Tract 306.01, Collin County, Texas",97328,7860
1400000US48085030603,48085030603,"Census Tract 306.03, Collin County, Texas",66683,6309
1400000US48085030604,48085030604,"Census Tract 306.04, Collin County, Texas",91103,18265
1400000US48085030605,48085030605,"Census Tract 306.05, Collin County, Texas",81521,8490
1400000US48085030701,48085030701,"Census Tract 307.01, Collin County, Texas",46677,8806
1400000US48085030702,48085030702,"Census Tract 307.02, Collin County, Texas",51313,5544
1400000US48085030801,48085030801,"Census Tract 308.01, Collin County, Texas",53201,7539
1400000US48085030802,48085030802,"Census Tract 308.02, Collin County, Texas",41233,4706
1400000US48085030900,48085030900,"Census Tract 309, Collin County, Texas",32536,6177
1400000US48085031001,48085031001,"Census Tract 310.01, Collin County, Texas",55250,12708
1400000US48085031003,48085031003,"Census Tract 310.03, Collin County, Texas",54112,10055
1400000US48085031004,48085031004,"Census Tract 310.04, Collin County, Texas",57420,10460
1400000US48085031100,48085031100,"Census Tract 311, Collin County, Texas",70972,12353
1400000US48085031201,48085031201,"Census Tract 312.01, Collin County, Texas",69570,9759
1400000US48085031202,48085031202,"Census Tract 312.02, Collin County, Texas",85397,4872
1400000US48085031308,48085031308,"Census Tract 313.08, Collin County, Texas",91832,8604
1400000US48085031309,48085031309,"Census Tract 313.09, Collin County, Texas",76992,7577
1400000US48085031310,48085031310,"Census Tract 313.10, Collin County, Texas",70472,7793
1400000US48085031311,48085031311,"Census Tract 313.11, Collin County, Texas",86538,13127
1400000US48085031312,48085031312,"Census Tract 313.12, Collin County, Texas",110355,10176
1400000US48085031313,48085031313,"Census Tract 313.13, Collin County, Texas",142128,24473
1400000US48085031314,48085031314,"Census Tract 313.14, Collin County, Texas",103750,17215
1400000US48085031315,48085031315,"Census Tract 313.15, Collin County, Texas",97845,9904
1400000US48085031316,48085031316,"Census Tract 313.16, Collin County, Texas",112336,12586
1400000US48085031317,48085031317,"Census Tract 313.17, Collin County, Texas",111397,11495
1400000US48085031405,48085031405,"Census Tract 314.05, Collin County, Texas",148224,13914
1400000US48085031406,48085031406,"Census Tract 314.06, Collin County, Texas",102117,12016
1400000US48085031407,48085031407,"Census Tract 314.07, Collin County, Texas",86000,10478
1400000US48085031408,48085031408,"Census Tract 314.08, Collin County, Texas",113182,8147
1400000US48085031409,48085031409,"Census Tract 314.09, Collin County, Texas",106306,8403
1400000US48085031410,48085031410,"Census Tract 314.10, Collin County, Texas",102518,8297
1400000US48085031411,48085031411,"Census Tract 314.11, Collin County, Texas",117545,8635
1400000US48085031504,48085031504,"Census Tract 315.04, Collin County, Texas",94198,7339
1400000US48085031505,48085031505,"Census Tract 315.05, Collin County, Texas",122146,10060
1400000US48085031506,48085031506,"Census Tract 315.06, Collin County, Texas",52009,6672
1400000US48085031507,48085031507,"Census Tract 315.07, Collin County, Texas",72332,8025
1400000US48085031508,48085031508,"Census Tract 315.08, Collin County, Texas",61538,10556
1400000US48085031611,48085031611,"Census Tract 316.11, Collin County, Texas",74423,15470
1400000US48085031612,48085031612,"Census Tract 316.12, Collin County, Texas",90583,17331
1400000US48085031613,48085031613,"Census Tract 316.13, Collin County, Texas",104292,8422
1400000US48085031621,48085031621,"Census Tract 316.21, Collin County, Texas",70602,9363
1400000US48085031622,48085031622,"Census Tract 316.22, Collin County, Texas",94762,12042
1400000US48085031623,48085031623,"Census Tract 316.23, Collin County, Texas",60889,10283
1400000US48085031624,48085031624,"Census Tract 316.24, Collin County, Texas",40143,6163
1400000US48085031625,48085031625,"Census Tract 316.25, Collin County, Texas",92826,17467
1400000US48085031626,48085031626,"Census Tract 316.26, Collin County, Texas",101458,9438
1400000US48085031627,48085031627,"Census Tract 316.27, Collin County, Texas",80759,11648
1400000US48085031628,48085031628,"Census Tract 316.28, Collin County, Texas",65588,7031
1400000US48085031629,48085031629,"Census Tract 316.29, Collin County, Texas",59792,14806
1400000US48085031630,48085031630,"Census Tract 316.30, Collin County, Texas",114211,15394
1400000US48085031631,48085031631,"Census Tract 316.31, Collin County, Texas",75644,13435
1400000US48085031632,48085031632,"Census Tract 316.32, Collin County, Texas",58236,7941
1400000US48085031633,48085031633,"Census Tract 316.33, Collin County, Texas",93221,10986
1400000US48085031634,48085031634,"Census Tract 316.34, Collin County, Texas",63972,12885
1400000US48085031635,48085031635,"Census Tract 316.35, Collin County, Texas",60258,7816
1400000US48085031636,48085031636,"Census Tract 316.36, Collin County, Texas",88551,10993
1400000US48085031637,48085031637,"Census Tract 316.37, Collin County, Texas",143558,17258
1400000US48085031638,48085031638,"Census Tract 316.38, Collin County, Texas",158125,22724
1400000US48085031639,48085031639,"Census Tract 316.39, Collin County, Texas",95365,14231
1400000US48085031640,48085031640,"Census Tract 316.40, Collin County, Texas",80434,14538
1400000US48085031641,48085031641,"Census Tract 316.41, Collin County, Texas",133571,8795
1400000US48085031642,48085031642,"Census Tract 316.42, Collin County, Texas",116743,7671
1400000US48085031643,48085031643,"Census Tract 316.43, Collin County, Texas",74416,6964
1400000US48085031645,48085031645,"Census Tract 316.45, Collin County, Texas",157083,16376
1400000US48085031646,48085031646,"Census Tract 316.46, Collin County, Texas",131477,29039
1400000US48085031647,48085031647,"Census Tract 316.47, Collin County, Texas",88409,9114
1400000US48085031648,48085031648,"Census Tract 316.48, Collin County, Texas",122233,23694
1400000US48085031649,48085031649,"Census Tract 316.49, Collin County, Texas",112262,17372
1400000US48085031652,48085031652,"Census Tract 316.52, Collin County, Texas",70869,4534
1400000US48085031653,48085031653,"Census Tract 316.53, Collin County, Texas",95392,9786
1400000US48085031654,48085031654,"Census Tract 316.54, Collin County, Texas",148385,15591
1400000US48085031655,48085031655,"Census Tract 316.55, Collin County, Texas",76354,11483
1400000US48085031656,48085031656,"Census Tract 316.56, Collin County, Texas",73553,20712
1400000US48085031657,48085031657,"Census Tract 316.57, Collin County, Texas",66968,7767
1400000US48085031658,48085031658,"Census Tract 316.58, Collin County, Texas",66257,7482
1400000US48085031659,48085031659,"Census Tract 316.59, Collin County, Texas",92569,13447
1400000US48085031660,48085031660,"Census Tract 316.60, Collin County, Texas",75045,8645
1400000US48085031661,48085031661,"Census Tract 316.61, Collin County, Texas",134224,10242
1400000US48085031662,48085031662,"Census Tract 316.62, Collin County, Texas",129130,11427
1400000US48085031663,48085031663,"Census Tract 316.63, Collin County, Texas",121528,13511
1400000US48085031664,48085031664,"Census Tract 316.64, Collin County, Texas",141204,18154
1400000US48085031704,48085031704,"Census Tract 317.04, Collin County, Texas",65103,5376
1400000US48085031706,48085031706,"Census Tract 317.06, Collin County, Texas",210893,59088
1400000US48085031708,48085031708,"Census Tract 317.08, Collin County, Texas",66556,11880
1400000US48085031709,48085031709,"Census Tract 317.09, Collin County, Texas",96141,13869
1400000US48085031711,48085031711,"Census Tract 317.11, Collin County, Texas",84914,13101
1400000US48085031712,48085031712,"Census Tract 317.12, Collin County, Texas",54767,11179
1400000US48085031713,48085031713,"Census Tract 317.13, Collin County, Texas",46758,5582
1400000US48085031714,48085031714,"Census Tract 317.14, Collin County, Texas",43504,2854
1400000US48085031715,48085031715,"Census Tract 317.15, Collin County, Texas",88833,17836
1400000US48085031716,48085031716,"Census Tract 317.16, Collin County, Texas",50888,5807
1400000US48085031717,48085031717,"Census Tract 317.17, Collin County, Texas",67964,7893
1400000US48085031718,48085031718,"Census Tract 317.18, Collin County, Texas",71111,13353
1400000US48085031719,48085031719,"Census Tract 317.19, Collin County, Texas",75969,8892
1400000US48085031720,48085031720,"Census Tract 317.20, Collin County, Texas",25900,5767
1400000US48085031802,48085031802,"Census Tract 318.02, Collin County, Texas",68533,15715
